age,sex,chest_pain_type,resting_blood_pressure,cholesterol,fasting_blood_sugar,rest_ecg,max_heart_rate_achieved,exercise_induced_angina,st_depression,st_slope,num_major_vessels,thalassemia,target,state,address,city,postalCode,name,ssn,pregnant,diabetic,asthmatic,observation,smoker
53,1,2,130,197,1,0,152,0,1.2,0,0,2,1,DC,81 Seaton Place Northwest,Washington,20001,Anna Ostrowska,333-73-2549,0,1,0,Anna Ostrowska from Washington. Last visit on 07/04/2018,0
41,0,1,105,198,0,1,168,0,0.0,2,1,2,1,TN,1267 Martin Street,Nashville,37203,Shakti Menon,460-53-6958,0,0,1,Shakti Menon from Nashville. Last visit on 05/03/2020,1
65,1,0,120,177,0,1,140,0,0.4,2,0,3,1,KY,7431 Candace Way,Louisville,40214,Krystyna Sokolowska,820-97-6800,0,0,1,Krystyna Sokolowska from Louisville. Last visit on 12/19/2018,0
44,1,1,130,219,0,0,188,0,0.0,2,0,2,1,MD,1407 Walden Court,Crofton,21114,Lidia Nowakowska,182-57-6135,0,1,0,Lidia Nowakowska from Crofton. Last visit on 04/09/2019,1
54,1,2,125,273,0,0,152,0,0.5,0,1,2,1,MD,5906 Milton Avenue,Deale,20751,Antonio Teixeira,994-80-6145,0,0,0,Antonio Teixeira from Deale. Last visit on 02/23/2020,0
51,1,3,125,213,0,0,125,1,1.4,2,1,2,1,MA,74 Springfield Street,Agawam,01001,Nanette Langen,309-57-9304,0,0,0,Nanette Langen from Agawam. Last visit on 06/09/2018,0
46,0,2,142,177,0,0,160,1,1.4,0,0,2,1,OK,2905 Stonebridge Court,Norman,73071,Isabel Robledo,869-28-3388,1,1,0,Isabel Robledo from Norman. Last visit on 04/03/2018,1
54,0,2,135,304,1,1,170,0,0.0,2,0,2,1,CA,20930 Todd Valley Road,Foresthill,95631,Isabella Toscano,751-72-8953,1,0,1,Isabella Toscano from Foresthill. Last visit on 06/20/2020,1
54,1,2,150,232,0,0,165,0,1.6,2,0,3,1,AZ,5928 West Mauna Loa Lane,Glendale,85306,Ngai Dinh,727-46-9586,0,0,0,Ngai Dinh from Glendale. Last visit on 11/17/2020,1
65,0,2,155,269,0,1,148,0,0.8,2,0,2,1,DC,802 Madison Street Northwest,Washington,20011,Yejoon Na,672-27-5161,1,0,0,Yejoon Na from Washington. Last visit on 09/06/2020,0
65,0,2,160,360,0,0,151,0,0.8,2,0,2,1,DC,2811 Battery Place Northwest,Washington,20016,Ines Vaz,276-36-7249,1,1,1,Ines Vaz from Washington. Last visit on 06/02/2020,1
51,0,2,140,308,0,0,142,0,1.5,2,1,2,1,VT,210 Lacross Lane,Westmore,05860,Kadyr Sattaruly,610-33-7148,1,0,0,Kadyr Sattaruly from Westmore. Last visit on 11/23/2019,0
48,1,1,130,245,0,0,180,0,0.2,1,0,2,1,OK,2010 Rising Hill Drive,Norman,73071,Patchara Sakda,940-28-5533,0,1,1,Patchara Sakda from Norman. Last visit on 03/14/2020,0
45,1,0,104,208,0,0,148,1,3.0,1,0,2,1,VT,388 East Main Street,Middlebury,05753,Sota Sakai,617-39-9854,0,1,0,Sota Sakai from Middlebury. Last visit on 09/26/2019,0
53,0,0,130,264,0,0,143,0,0.4,1,0,2,1,TN,450 Kinhawk Drive,Nashville,37211,Rok Kavcic,470-60-3351,1,0,0,Rok Kavcic from Nashville. Last visit on 01/17/2020,0
39,1,2,140,321,0,0,182,0,0.0,2,0,2,1,CT,131 Westerly Street,Manchester,06042,Dalia Pelayo,338-73-4835,0,0,0,Dalia Pelayo from Manchester. Last visit on 01/28/2020,0
52,1,1,120,325,0,1,172,0,0.2,2,0,2,1,MD,308 Woodleaf Court,Glen Burnie,21061,Dragana Lazic,877-59-9616,0,0,0,Dragana Lazic from Glen Burnie. Last visit on 03/17/2019,1
44,1,2,140,235,0,0,180,0,0.0,2,0,2,1,KY,8502 Madrone Avenue,Louisville,40258,Shweta Chourasia,923-19-2003,0,0,0,Shweta Chourasia from Louisville. Last visit on 08/14/2019,0
47,1,2,138,257,0,0,156,0,0.0,2,0,2,1,MA,23 Sable Run Lane,Methuen,01844,Amalie Larsen,474-92-8851,0,1,1,Amalie Larsen from Methuen. Last visit on 02/28/2019,1
53,0,2,128,216,0,0,115,0,0.0,2,0,0,1,TN,716 Waller Road,Brentwood,37027,Azuolas Norkus,686-82-9456,1,1,1,Azuolas Norkus from Brentwood. Last visit on 11/02/2018,1
53,0,0,138,234,0,0,160,0,0.0,2,0,2,1,TN,416 McIver Street,Nashville,37211,Leonas Petronis,732-17-4039,0,0,0,Leonas Petronis from Nashville. Last visit on 11/09/2019,1
51,0,2,130,256,0,0,149,0,0.5,2,0,2,1,DC,1508 Massachusetts Avenue Southeast,Washington,20003,Joana Puigxoriguer,431-14-6355,1,1,0,Joana Puigxoriguer from Washington. Last visit on 01/18/2018,0
66,1,0,120,302,0,0,151,0,0.4,1,0,2,1,AZ,5615 West Villa Maria Drive,Glendale,85308,Dora Balli,802-35-9424,0,0,0,Dora Balli from Glendale. Last visit on 03/26/2020,1
62,1,2,130,231,0,1,146,0,1.8,1,3,3,1,AR,3162 Martin Luther King Junior Boulevard,Fayetteville,72704,Christian Lacombe,548-40-5587,0,0,0,Christian Lacombe from Fayetteville. Last visit on 10/31/2019,0
44,0,2,108,141,0,1,175,0,0.6,1,0,2,1,MD,5306 Ritchie Highway,Baltimore,21225,Calimero Mazzanti,305-49-8573,0,1,0,Calimero Mazzanti from Baltimore. Last visit on 04/15/2019,0
63,0,2,135,252,0,0,172,0,0.0,2,0,2,1,VT,109 Summit Street,Burlington,05401,Yue Jen,394-82-3137,1,0,0,Yue Jen from Burlington. Last visit on 12/07/2018,0
52,1,1,134,201,0,1,158,0,0.8,2,1,2,1,AK,816 West 19th Avenue,Anchorage,99503,Iustin Munteanu,506-62-9625,0,0,0,Iustin Munteanu from Anchorage. Last visit on 03/28/2020,0
48,1,0,122,222,0,0,186,0,0.0,2,0,2,1,VT,172 Alburg Springs Road,Alburgh,05440,William Reuser,998-62-2280,0,1,0,William Reuser from Alburgh. Last visit on 07/24/2020,1
45,1,0,115,260,0,0,185,0,0.0,2,0,2,1,CT,159 Downey Drive,Manchester,06040,Iselin Pilskog,501-85-4297,0,1,0,Iselin Pilskog from Manchester. Last visit on 09/16/2018,0
34,1,3,118,182,0,0,174,0,0.0,2,0,2,1,CA,125 John Street,Santa Cruz,95060,Illia Herasymenko,326-13-9071,0,0,0,Illia Herasymenko from Santa Cruz. Last visit on 07/13/2018,0
57,0,0,128,303,0,0,159,0,0.0,2,1,2,1,MD,1101 Lotus Avenue,Glen Burnie,21061,Valerija Blagojevic,108-35-6938,0,0,0,Valerija Blagojevic from Glen Burnie. Last visit on 07/02/2020,0
71,0,2,110,265,1,0,130,0,0.0,2,1,2,1,MD,8376 Albacore Drive,Pasadena,21122,Heidi Koppel,521-94-3469,1,0,0,Heidi Koppel from Pasadena. Last visit on 04/17/2020,1
54,1,1,108,309,0,1,156,0,0.0,2,0,3,1,CO,491 Arabian Way,Grand Junction,81504,Hasibah Kassis,269-52-5207,0,0,0,Hasibah Kassis from Grand Junction. Last visit on 12/17/2020,1
52,1,3,118,186,0,0,190,0,0.0,1,0,1,1,CO,12245 West 71st Place,Arvada,80004,De Hsieh,438-40-2839,0,0,1,De Hsieh from Arvada. Last visit on 10/17/2018,0
41,1,1,135,203,0,1,132,0,0.0,1,0,1,1,MA,80 North East Street,Holyoke,01040,Dejana Solevic,233-79-2158,0,0,1,Dejana Solevic from Holyoke. Last visit on 08/18/2020,0
58,1,2,140,211,1,0,165,0,0.0,2,0,2,1,AR,4695 East Huntsville Road,Fayetteville,72701,Ramazan Kilic,885-82-1113,0,0,0,Ramazan Kilic from Fayetteville. Last visit on 07/15/2018,0
35,0,0,138,183,0,1,182,0,1.4,2,0,2,1,CT,310 Timrod Road,Manchester,06040,Szymon Michalski,872-55-6437,1,0,0,Szymon Michalski from Manchester. Last visit on 05/29/2019,0
51,1,2,100,222,0,1,143,1,1.2,1,0,2,1,FL,1364 Capri Drive,Panama City,32405,Jeffry Goh,341-69-8561,0,0,0,Jeffry Goh from Panama City. Last visit on 02/21/2018,0
45,0,1,130,234,0,0,175,0,0.6,1,0,2,1,GA,132 Laurel Green Court,Savannah,31419,Katarina Balogova,943-13-6231,1,0,0,Katarina Balogova from Savannah. Last visit on 04/02/2019,0
44,1,1,120,220,0,1,170,0,0.0,2,0,2,1,AZ,6657 West Rose Garden Lane,Glendale,85308,Terry Po,711-51-3970,0,1,0,Terry Po from Glendale. Last visit on 09/15/2020,1
62,0,0,124,209,0,1,163,0,0.0,2,0,2,1,AK,519 West 75th Avenue,Anchorage,99518,Arina Maharani,631-73-1094,1,0,0,Arina Maharani from Anchorage. Last visit on 06/23/2020,0
54,1,2,120,258,0,0,147,0,0.4,1,0,3,1,CA,31353 Santa Elena Way,Union City,94587,Dewi Febiana,176-38-3183,0,0,0,Dewi Febiana from Union City. Last visit on 05/09/2019,0
51,1,2,94,227,0,1,154,1,0.0,2,1,3,1,AZ,8398 West Denton Lane,Glendale,85305,Takuma Hayashi,406-18-1696,0,0,0,Takuma Hayashi from Glendale. Last visit on 01/01/2019,0
29,1,1,130,204,0,0,202,0,0.0,2,0,2,1,AK,700 Winston Place,Anchorage,99504,Tatjana Erjavec,191-46-5631,0,0,1,Tatjana Erjavec from Anchorage. Last visit on 09/30/2018,1
51,1,0,140,261,0,0,186,1,0.0,2,0,2,1,FL,232 Maine Avenue,Panama City,32401,Gregory Ivanov,136-11-5793,0,0,0,Gregory Ivanov from Panama City. Last visit on 11/24/2019,1
43,0,2,122,213,0,1,165,0,0.2,1,0,2,1,MA,1 Kempf Drive,Easton,02375,Arianne Martin,577-20-1514,0,0,0,Arianne Martin from Easton. Last visit on 11/09/2020,0
55,0,1,135,250,0,0,161,0,1.4,1,0,2,1,TN,5811 Crossings Boulevard,Nashville,37013,Valeriu Preda,471-97-9429,0,0,0,Valeriu Preda from Nashville. Last visit on 03/15/2020,1
51,1,2,125,245,1,0,166,0,2.4,1,0,2,1,GA,5108 Franklin Street,Savannah,31405,Asier Agerregarai,575-62-5707,0,1,0,Asier Agerregarai from Savannah. Last visit on 01/12/2019,0
59,1,1,140,221,0,1,164,1,0.0,2,0,2,1,TN,913 Fallview Trail,Nashville,37211,Alida Kundzina,549-30-3019,0,1,0,Alida Kundzina from Nashville. Last visit on 07/24/2018,1
52,1,1,128,205,1,1,184,0,0.0,2,0,2,1,VT,270 Chrissy's Court,Montgomery,05443,Baymurat Oteshuly,155-90-9035,0,0,0,Baymurat Oteshuly from Montgomery. Last visit on 10/29/2020,0
58,1,2,105,240,0,0,154,1,0.6,1,0,3,1,VT,130 Old Route 103,Chester,05143,Eduardo Gomes,188-50-1700,0,0,0,Eduardo Gomes from Chester. Last visit on 03/28/2020,0
41,1,2,112,250,0,1,179,0,0.0,2,0,2,1,CA,10826 Pointe Royal Drive,Bakersfield,93311,Nghi Doan,890-98-7714,0,0,1,Nghi Doan from Bakersfield. Last visit on 01/29/2020,0
45,1,1,128,308,0,0,170,0,0.0,2,0,2,1,AL,74 Ranch Drive,Montgomery,36109,Stella Johansson,488-38-9357,0,1,1,Stella Johansson from Montgomery. Last visit on 04/23/2019,0
60,0,2,102,318,0,1,160,0,0.0,2,1,2,1,AZ,6601 West Ocotillo Road,Glendale,85301,Dariga Kasimkyzy,627-81-6098,0,0,0,Dariga Kasimkyzy from Glendale. Last visit on 03/26/2020,0
52,1,3,152,298,1,1,178,0,1.2,1,0,3,1,CA,19416 Barclay Road,Castro Valley,94546,Rajendra More,394-25-2484,0,0,0,Rajendra More from Castro Valley. Last visit on 07/15/2019,0
42,0,0,102,265,0,0,122,0,0.6,1,0,2,1,MD,1347 Blackwalnut Court,Annapolis,21403,Szymon Wozniak,725-56-8252,1,0,0,Szymon Wozniak from Annapolis. Last visit on 01/24/2018,0
67,0,2,115,564,0,0,160,0,1.6,1,0,3,1,AR,1770 Colony Way,Fayetteville,72704,Eden Hirsch,407-22-3406,0,1,0,Eden Hirsch from Fayetteville. Last visit on 04/20/2020,1
68,1,2,118,277,0,1,151,0,1.0,2,1,3,1,CT,165 Saint John Street,Manchester,06040,Jacob Steffensen,851-81-9352,0,0,0,Jacob Steffensen from Manchester. Last visit on 11/20/2018,0
46,1,1,101,197,1,1,156,0,0.0,2,0,3,1,CO,2409 Research Boulevard,Fort Collins,80526,Branko Kralj,956-75-5834,0,0,0,Branko Kralj from Fort Collins. Last visit on 01/09/2018,0
54,0,2,110,214,0,1,158,0,1.6,1,0,2,1,KY,1903 Bashford Manor Lane,Louisville,40218,Bong-jin Lee,823-43-3252,1,0,0,Bong-jin Lee from Louisville. Last visit on 05/09/2020,0
58,0,0,100,248,0,0,122,0,1.0,1,0,2,1,FL,8315 Surf Drive,Panama City Beach,32408,Eszter Toth,986-64-2192,1,1,1,Eszter Toth from Panama City Beach. Last visit on 02/10/2019,0
48,1,2,124,255,1,1,175,0,0.0,2,2,2,1,AK,3301 Old Muldoon Road,Anchorage,99504,Alena Polakova,885-51-4211,0,1,1,Alena Polakova from Anchorage. Last visit on 06/12/2019,0
57,1,0,132,207,0,1,168,1,0.0,2,0,3,1,AK,8800 Cordell Circle,Anchorage,99502,Promporn Neungluthai,440-70-2811,0,0,1,Promporn Neungluthai from Anchorage. Last visit on 01/26/2018,0
52,1,2,138,223,0,1,169,0,0.0,2,4,2,1,AK,117 East Cook Avenue,Anchorage,99501,Chin-hae Jang,942-36-8650,0,0,0,Chin-hae Jang from Anchorage. Last visit on 09/08/2018,0
54,0,1,132,288,1,0,159,1,0.0,2,1,2,1,AZ,6231 North 67th Avenue,Glendale,85301,Chandrika Gupta,148-29-8406,0,0,0,Chandrika Gupta from Glendale. Last visit on 06/17/2020,1
45,0,1,112,160,0,1,138,0,0.0,1,0,2,1,GA,8505 Waters Avenue,Savannah,31406,Julia Serradesanferm,628-92-5236,1,0,0,Julia Serradesanferm from Savannah. Last visit on 03/10/2019,1
53,1,0,142,226,0,0,111,1,0.0,2,0,3,1,DC,7 Underwood Place Northwest,Washington,20012,Soon-joo Woo,956-98-2657,0,0,0,Soon-joo Woo from Washington. Last visit on 06/13/2020,1
62,0,0,140,394,0,0,157,0,1.2,1,0,2,1,CA,21950 Arnold Center Road,Carson,90810,Marina Rodriguez,150-92-8627,1,0,0,Marina Rodriguez from Carson. Last visit on 05/24/2020,0
52,1,0,108,233,1,1,147,0,0.1,2,3,3,1,DC,1427 South Carolina Avenue Southeast,Washington,20003,Akihito Sato,910-33-1005,0,1,0,Akihito Sato from Washington. Last visit on 07/20/2020,1
43,1,2,130,315,0,1,162,0,1.9,2,1,2,1,FL,1420 Turtleback Trail,Panama City,32413,Georgijs Baltins,522-22-8203,0,1,0,Georgijs Baltins from Panama City. Last visit on 02/10/2020,0
53,1,2,130,246,1,0,173,0,0.0,2,3,2,1,CO,6990 Pierson Street,Arvada,80004,Radmilo Bogic,969-19-6578,0,0,0,Radmilo Bogic from Arvada. Last visit on 08/09/2018,0
42,1,3,148,244,0,0,178,0,0.8,2,2,2,1,AR,376 North Williams Drive,Fayetteville,72701,Carme Fontbernat,834-35-4769,0,0,0,Carme Fontbernat from Fayetteville. Last visit on 08/22/2018,1
59,1,3,178,270,0,0,145,0,4.2,0,0,3,1,AL,3617 Menlo Court,Montgomery,36116,Gadi Kuzbari,126-94-6601,0,0,0,Gadi Kuzbari from Montgomery. Last visit on 12/30/2019,0
63,0,1,140,195,0,1,179,0,0.0,2,2,2,1,MA,711 Parker Street,East Longmeadow,01028,Elias Panagiotou,800-51-2324,1,0,0,Elias Panagiotou from East Longmeadow. Last visit on 07/13/2019,0
42,1,2,120,240,1,1,194,0,0.8,0,0,3,1,AK,8521 Crystal Street,Anchorage,99502,Jausma Bite,280-82-9895,0,0,0,Jausma Bite from Anchorage. Last visit on 04/20/2020,1
50,1,2,129,196,0,1,163,0,0.0,2,0,2,1,AL,1622 Edgar D Nixon Avenue,Montgomery,36104,Heru Zulkarnain,800-49-7398,0,0,0,Heru Zulkarnain from Montgomery. Last visit on 01/06/2018,1
68,0,2,120,211,0,0,115,0,1.5,1,0,2,1,DC,1608 Gales Street Northeast,Washington,20002,Shai Shemesh,888-65-5059,1,1,0,Shai Shemesh from Washington. Last visit on 11/28/2020,0
69,1,3,160,234,1,0,131,0,0.1,1,1,2,1,OK,122 East Hayes Street,Norman,73069,Ricardo Cavalcanti,519-61-9734,0,0,0,Ricardo Cavalcanti from Norman. Last visit on 03/14/2018,1
45,0,0,138,236,0,0,152,1,0.2,1,0,2,1,AR,5144 Cattail Court,Fayetteville,72701,Abhinav Ved,302-75-4544,1,0,0,Abhinav Ved from Fayetteville. Last visit on 06/02/2020,0
50,0,1,120,244,0,1,162,0,1.1,2,0,2,1,CT,131 Kent Drive,Manchester,06042,Niklavs Kaneps,773-49-1481,0,0,0,Niklavs Kaneps from Manchester. Last visit on 07/09/2019,0
50,0,0,110,254,0,0,159,0,0.0,2,0,2,1,CA,2313 Vegas Avenue,Castro Valley,94546,Tihomir Pavlovic,906-43-4140,0,0,0,Tihomir Pavlovic from Castro Valley. Last visit on 01/24/2019,1
64,0,0,180,325,0,1,154,1,0.0,2,0,2,1,FL,5420 Sunset Avenue,Panama City Beach,32408,Fanni Orosz,947-37-5683,0,0,0,Fanni Orosz from Panama City Beach. Last visit on 07/29/2019,1
57,1,2,150,126,1,1,173,0,0.2,2,1,3,1,CO,242 North Ash Street,Fruita,81521,Fahmi Ibrahim,283-38-5663,0,1,1,Fahmi Ibrahim from Fruita. Last visit on 11/05/2019,0
64,0,2,140,313,0,1,133,0,0.2,2,0,3,1,CA,38676 Greenwich Circle,Fremont,94536,Laimonis Viksna,744-36-8941,0,0,0,Laimonis Viksna from Fremont. Last visit on 01/16/2018,0
43,1,0,110,211,0,1,161,0,0.0,2,0,3,1,AR,2426 East Onyx Trail,Fayetteville,72701,Pieter-bas Scholts,854-96-4271,0,0,1,Pieter-bas Scholts from Fayetteville. Last visit on 04/25/2018,0
55,1,1,130,262,0,1,155,0,0.0,2,0,2,1,DC,110 Seaton Place Northwest,Washington,20001,Peter Pokorny,567-27-8869,0,0,0,Peter Pokorny from Washington. Last visit on 08/26/2020,1
37,0,2,120,215,0,1,170,0,0.0,2,0,2,1,CO,5385 Iris Street,Arvada,80002,Duangrat Supitayaporn,569-47-1458,1,0,1,Duangrat Supitayaporn from Arvada. Last visit on 06/19/2019,1
41,1,2,130,214,0,0,168,0,2.0,1,0,2,1,AZ,5628 West Tonopah Drive,Glendale,85308,Leonidas Yakoumakis,195-22-8661,0,0,0,Leonidas Yakoumakis from Glendale. Last visit on 06/06/2020,0
56,1,3,120,193,0,0,162,0,1.9,1,0,3,1,MD,65 Bay Drive,Annapolis,21403,Laimonis Dumins,587-39-8760,0,0,0,Laimonis Dumins from Annapolis. Last visit on 06/19/2020,0
46,0,1,105,204,0,1,172,0,0.0,2,0,2,1,AZ,7401 North 61st Drive,Glendale,85301,Marica Juric,477-90-7848,1,0,0,Marica Juric from Glendale. Last visit on 06/09/2019,1
46,0,0,138,243,0,0,152,1,0.0,1,0,2,1,VT,8 Watkins Road,Montgomery,05468,Li-hua Li,675-60-7476,1,1,1,Li-hua Li from Montgomery. Last visit on 04/23/2020,1
64,0,0,130,303,0,1,122,0,2.0,1,2,2,1,TN,2209 June Drive,Nashville,37214,Milena Tomazic,981-82-3123,0,0,0,Milena Tomazic from Nashville. Last visit on 04/18/2020,0
59,1,0,138,271,0,0,182,0,0.0,2,0,2,1,KY,1840 Nobel Place,Louisville,40216,Jaka Pratama,399-15-8535,0,1,0,Jaka Pratama from Louisville. Last visit on 11/24/2018,1
41,0,2,112,268,0,0,172,1,0.0,2,0,2,1,AR,2622 Martin Luther King Junior Boulevard,Fayetteville,72704,Veronica Fuentes,123-88-7888,1,0,1,Veronica Fuentes from Fayetteville. Last visit on 10/04/2019,1
54,0,2,108,267,0,0,167,0,0.0,2,0,2,1,MD,4 Glen Circle,Glen Burnie,21060,Monika Nayak,347-70-7185,0,0,0,Monika Nayak from Glen Burnie. Last visit on 08/09/2019,0
39,0,2,94,199,0,1,179,0,0.0,2,0,2,1,CO,7529 West 72nd Avenue,Arvada,80003,Pere Castellsegui,530-38-1776,0,0,1,Pere Castellsegui from Arvada. Last visit on 11/25/2018,1
34,0,1,118,210,0,1,192,0,0.7,2,0,2,1,GA,10996 Largo Drive,Savannah,31419,Liliya Medvedeva,660-36-2159,1,0,0,Liliya Medvedeva from Savannah. Last visit on 02/23/2019,0
47,1,0,112,204,0,1,143,0,0.1,2,0,2,1,AR,2027 North Shannon Drive,Fayetteville,72703,Marcela Kubatova,291-99-3793,0,0,0,Marcela Kubatova from Fayetteville. Last visit on 03/13/2018,0
67,0,2,152,277,0,1,172,0,0.0,2,1,2,1,FL,154 Boca Lagoon Drive,Panama City Beach,32408,Rayna Bacheva,619-78-2108,1,0,0,Rayna Bacheva from Panama City Beach. Last visit on 11/30/2020,0
52,0,2,136,196,0,0,169,0,0.1,1,0,2,1,AK,3311 Wiley Post Loop,Anchorage,99517,Emine Sahin,144-73-6574,1,1,0,Emine Sahin from Anchorage. Last visit on 11/02/2018,0
74,0,1,120,269,0,0,121,1,0.2,2,1,2,1,CO,5055 West 58th Avenue,Arvada,80002,Ella Reuveni,129-25-5299,0,0,1,Ella Reuveni from Arvada. Last visit on 03/19/2020,0
